Question,Answer,Contexts,Ground Truth
قبل از استفاده، کدام دفاتر باید توسط نماینده اداره ثبت امضا شوند؟,دفاتر رسمی، مامورین دولتی، یا دو نفر معتمد محلی باید توسط نماینده اداره ثبت امضا شوند.,"['قانون امور حسبي  - ماده 263 - دادگاه بخش پس از درخواست تصفيه منتهي تا يك هفته يك يا چند نفر را بسمت مدير تصفيه معين مينمايد و آنها تحت نظر دادرس امور تصفيه را انجام ميدهند.\nو اگر اداره تصفيه در محل موجود باشد آنرا باداره نامبرده مراجعه مينمايند.\nاداره تصفيه ميتواند يك يا چند نفر را بسمت مدير تصفيه معين نمايد كه تحت نظر آنها امور تصفيه را انجام دهند.\n\n', 'قانون آيين دادرسي كيفري - ماده 161- جز در موارد فوري، پس از پرداخت دستمزد، به كارشناس اخطار مي شود كه ظرف مهلت تعيين شده در قرار كارشناسي، نظر خود را تقديم كند. مراتب وصول نظر كارشناس به طرفين ابلاغ مي شود. طرفين مي توانند ظرف يك هفته از تاريخ ابلاغ، جهت ملاحظه نظر كارشناس به دفتر بازپرسي مراجعه و نظر خود را به طور كتبي اعلام كنند.\n\n', 'قانون امور حسبي  - ماده 170 - در صورتيكه قبل از حضور دادرس دادگاه بخش در محل تركه اقدام فوري براي حفظ تركه لازم باشد اقدام مزبور بتوسط دادستان و در جائيكه دادستان نباشد بتوسط كلانتري محل و اگر مامورين شهرباني نباشند بتوسط دهبان با حضور دو نفر معتمد محلي بعمل ميآيد و در مورد مداخله دهبان دادستان مي تواند در هر دهستان كه مقتضي بداند دهبان را از مداخله منع كرده و صاحب دفتر رسمي يا يكي از مامورين دولتي يا دو نفر معتمد محلي را متفقا بانجام اين كار مامور نمايد مامورين نامبرده مراتب را در صورتمجلس نوشته و آنرا بدادگاه بخش ميفرستند.\n\n']",دفاتر مذکور در ماده 6 به استثناء دفتر کپیه. (ماده 11)
چه مواردی در دفتری که برای امضا به متصدی امضا تسلیم می‌شود، باید رعایت شود؟,در دفتری که برای امضا به متصدی امضا تسلیم می‌شود، باید اهلیت برای معامله داشتن طرفین، رضایت صاحب طلب فاضل دیه، و امکان رد کردن ودیعه توسط ولی او در صورت ناقص یا تلف شدن آن، رعایت شود.,"['قانون مدني - ماده 608 - در وديعه قبول امين لازم است اگر چه بفعل باشد.\n\n', 'قانون مجازات اسلامي - ماده 430 ـ در موارد لزوم پرداخت فاضل ديه اگر مقتول يا صاحب حق قصاص، طلبي از مرتكب داشته باشد، طلب مذكور با رضايت صاحب آن، هر چند بدون رضايت مرتكب، به عنوان فاضل ديه، قابل محاسبه است.\n\n', 'قانون مدني - ماده 610 - در وديعه طرفين بايد اهليّت براي معامله داشته باشند و اگر كسي مالي را از كسي ديگر كه براي معامله اهليّت ندارد بعنوان وديعه قبول كند بايد آنرا به وليّ او ردّ نمايد و اگر در يد او ناقص يا تَلَف شود ضامن است.\n\n']",دارای نمره ترتیبی و قیطان کشیده باشد و صفحات آن شمرده شود. (ماده 12)
ممنوعیت‌هایی در نگهداری دفاتر چه هستند؟,"1. نوشتن بین سطور، قلم خوردگی و تراشیدن کلمات در اوراق بازجویی و تحقیقات
2. اضافه کردن یا افتادن کلمات باید با رعایت قوانین خاص انجام شود
3. رعایت مقررات مراحل دادرسی از سوی مقامات قضائی و ضابطان دادگستری الزامی است","['قانون آيين دادرسي كيفري - ماده 214- هر گاه بيم خطر جاني يا حيثيتي و يا ضرر مالي براي شاهد يا مطلع و يا خانواده آنان وجود داشته باشد، اما استماع اظهارات آنان ضروري باشد، بازپرس به منظور حمايت از شاهد يا مطلع و با ذكر علت در پرونده، تدابير زير را اتخاذ مي كند:\nالف- عدم مواجهه حضوري بين شاهد يا مطلع با شاكي يا متهم\nب - عدم افشاي اطلاعات مربوط به هويت، مشخصات خانوادگي و محل سكونت يا فعاليت شاهد يا مطلع\nپ - استماع اظهارات شاهد يا مطلع در خارج از دادسرا با وسايل ارتباط از راه دور\n\nتبصره 1- در صورت شناسايي شاهد يا مطلع حسب مورد توسط متهم يا متهمان يا شاكي و يا وجود قرائن يا شواهد، مبني بر احتمال شناسايي و وجود بيم خطر براي آنان، بازپرس به درخواست شاهد يا مطلع، تدابير لازم را از قبيل آموزش براي حفاظت از سلامت جسمي و روحي يا تغيير مكان آنان اتخاذ مي كند. ترتيبات اين امر به موجب آيين نامه اي است كه ظرف شش ماه از تاريخ لازم الاجراء شدن اين قانون توسط وزارت دادگستري تهيه مي شود و به تصويب رئيس قوه قضائيه مي رسد.\n\nتبصره 2- ترتيبات فوق بايد به نحوي صورت پذيرد كه منافي حقوق دفاعي متهم نباشد.\n\nتبصره 3- ترتيبات مقرر در اين ماده و تبصره (1) آن در مرحله رسيدگي در دادگاه نيز اجراء مي شود.\n\n', 'قانون آيين دادرسي كيفري - ماده 115- نوشتن بين سطور، قلم خوردگي و تراشيدن كلمات در اوراق بازجويي و تحقيقات، ممنوع است. اگر يك يا چند كلمه اضافه گردد بايد بر روي آن خط نازكي كشيده و اين موضوع قيد شود و بازپرس و شخصي كه تحقيق از او به عمل مي آيد، آن را امضاء كنند. همچنين اگر يك يا چند كلمه از قلم افتاده و در حاشيه نوشته شود، اشخاص ياد شده بايد زير آن را امضاء كنند. هرگاه اين ترتيب رعايت نشود، كلمات و خطوط مزبور فاقد اعتبار است. رعايت مقررات اين ماده در تمام مراحل دادرسي از سوي مقامات قضائي و ضابطان دادگستري الزامي است. در صورت قلم خوردگي جزئي موضوع بايد در ذيل برگه توضيح داده شده و به امضاء اشخاص فوق برسد.\n\nمبحث دوم- صلاحيت بازپرس\n\n', 'قانون امور حسبي  - ماده 369 - در مورد ماده 364 اشخاص ذي نفع ميتوانند بدرخواست تصديق و همچنين بتصديقي كه در موضوع وراثت صادر ميشود اعتراض نمايند و رأي دادگاه در اين خصوص قابل پژوهش و فرجام است.\n\n']",تراشیدن، حک‌کردن، جای سفید گذاشتن بیش از حد معمول، و در حاشیه یا بین سطور نوشتن ممنوع است. (ماده 13)
دفاتر مطابق مقررات چه اعتباری دارند؟,دفاتر مطابق مقررات اعتباری که تحت عنوان هزینه‌های پیش‌بینی نشده در قانون بودجه کل کشور منظور می‌شود، بنا به پیشنهاد وزرای ذیربط و تأیید وزارت برنامه و بودجه و تصویب هیأت وزیران با رعایت مقررات این قانون و سایر مقررات عمومی دولت قابل مصرف می‌باشد.,"['قانون محاسبات عمومي كشور - ماده 50 - وجود اعتبار در بودجه كل كشور به خودي خود براي اشخاص اعم از حقيقي يا حقوقي ايجاد حق نمي كند و استفاده از اعتبارات بايد با رعايت مقررات مربوط به خود بعمل آيد.\n\n', 'قانون امور حسبي  - ماده 2 - رسيدگي بامور حسبي تابع مقررات اين باب ميباشد مگر آنكه خلاف آن مقرر شده باشد.\n\n', 'قانون محاسبات عمومي كشور - ماده 55 - اعتباري كه تحت عنوان هزينه هاي پيش بيني نشده در قانون بودجه كل كشور منظور ميشود، بنا به پيشنهاد وزراي ذيربط و تأييد وزارت برنامه و بودجه و تصويب هيأت وزيران با رعايت مقررات اين قانون و ساير مقررات عمومي دولت قابل مصرف ميباشد و هيأت وزيران مجاز است در مورد دستگاههاي اجرائي كه داراي مقررات قانوني خاص ميباشند اجازه دهد كه اعتبار واگذاري از محل اعتبارات موضوع اين ماده طبق مقررات خاص دستگاه مربوط مصرف شود.\n\nتبصره - حواله و درخواست وجه اعتبار موضوع اين ماده با رعايت مفاد اين قانون توسط مقامات مجاز دستگاه اجرائي مربوط و در ساير دستگاهها كه فاقد ذيحساب ميباشند، توسط مقامات مجاز نخست وزيري صادر خواهد شد.\n\n']",بین تجار در امور تجارتی سندیت دارند. (ماده 14)
تخلف از کدام مواد مستلزم جزای نقدی است؟,تخلف از ماده 32 (منع از اصدار چک) مستلزم جزای نقدی است.,"['قانون مجازات اسلامي - ماده 32 ـ منع از اصدار چك مستلزم ابطال برگه هاي سفيد دسته چك و انسداد حساب جاري و ممنوعيت از درخواست مجدد افتتاح حساب جاري است.\n\n', 'قانون مجازات اسلامي - ماده 639 ـ دستي كه داراي انگشتان است اگر بالاتر از مفصل مچ و نيز دستي كه داراي ساعد است اگر بالاتر از آرنج قطع گردد علاوه بر نصف ديه كامل، موجب ارش مقدار زائدي كه قطع شده نيز مي باشد.\n\n', 'قانون مجازات اسلامي - ماده 582 ـ اگر مقداري از موي سر، ريش و ابرو پيش از جنايت از بين رفته باشد، زايل كردن باقيمانده آنها، حكم از بين بردن قسمتي از مو را دارد.\n\n']",تخلف از ماده 6 و ماده 11. (ماده 15)
چه کسانی باید نام خود را در دفتر ثبت تجارتی به ثبت برسانند؟,کلیه اشخاصی که در نقاط بشغل تجارت اشتغال دارند اعماز ایرانی و خارجی با استثنای کسبه جزء باید نام خود را در دفتر ثبت تجارتی به ثبت برسانند.,"['قانون تجارت - ماده 16 - در نقاطي كه وزارت عدليه مقتضي دانسته و دفتر ثبت تجارتي تأسيس كند كليه اشخاصي كه در آن نقاط بشغل تجارت اشتغال دارند اعماز ايراني و خارجي باستثناي كسبه جزء بايد در مدت مقرر اسم خود را در دفتر ثبت تجارتي به ثبت برسانند و الا بجزاي نقدي از 000 /000 /10 تا 000 /000 /60 ريال محكوم خواهند شد. \n\n', 'قانون تجارت - ماده 205 - در هر مورد كه اشخاصي غير از مديران شركت براي تصفيه معين شوند اسامي آنها بايد در اداره ثبت اسناد ثبت و اعلان گردد.\n\n', 'قانون تجارت - ماده 8 - دفتر كل دفتري است كه تاجر بايد كليه معاملات را لااقل هفته يكمرتبه از دفتر روزنامه استخراج و انواع مختلفه آن را تشخيص و جدا كرده هر نوعي را در صفحه مخصوصي در آن دفتر بطور خلاصه ثبت كند.\n\n']",کلیه اشخاصی که به شغل تجارت اشتغال دارند، اعم از ایرانی و خارجی با استثنای کسبه جزء. (ماده 16)
وظایف وزارت عدلیه در رابطه با دفتر ثبت تجارتی چیست؟,وظایف وزارت عدلیه در رابطه با دفتر ثبت تجارتی شامل تصریح مقررات مربوطه، ترتیب ثبت اسم تجارتی و اعلان آن، و تعیین اصول محاکمات در دعاوی مربوطه با نام تجارتی می‌باشد.,"['قانون تجارت - ماده 16 - در نقاطي كه وزارت عدليه مقتضي دانسته و دفتر ثبت تجارتي تأسيس كند كليه اشخاصي كه در آن نقاط بشغل تجارت اشتغال دارند اعماز ايراني و خارجي باستثناي كسبه جزء بايد در مدت مقرر اسم خود را در دفتر ثبت تجارتي به ثبت برسانند و الا بجزاي نقدي از 000 /000 /10 تا 000 /000 /60 ريال محكوم خواهند شد. \n\n', 'قانون تجارت - ماده 17 - مقررات مربوطه بدفتر ثبت تجارتي را وزارت عدليه با تصريح بموضوعاتي كه بايد به ثبت برسد بموجب نظامنامه معين خواهد كرد.\n\n', 'قانون تجارت - ماده 582 - وزارتعدليه بموجب نظامنامه ترتيب ثبت اسم تجارتي و اعلان آن و اصول محاكمات در دعاوي مربوطه باسم تجارتي را معينخواهد كرد.\n\nباب پانزدهم - شخصيت حقوقي\n\nفصل اول - اشخاص حقوقي\n\n']",مقررات مربوط به دفتر ثبت تجارتی را معین می‌کند. (ماده 17)
تاجر باید چه اطلاعاتی را در اسناد خود ذکر کند؟,"تاجر باید در اسناد خود اطلاعاتی مانند قید کلمه ""برات""، تاریخ تحریر، اسم شخصی که باید برات را تأدیه کند، تعیین مبلغ برات، تاریخ تأدیه وجه برات، مکان تأدیه وجه برات، اسم شخصی که برات در وجه یا حواله کرد او پرداخته می شود، و تصریح درباره نسخه برات را ذکر کند.","['قانون تجارت - ماده 223 - برات علاوه بر امضاء يا مهر برات دهنده بايد داراي شرايط ذيل باشد:\n1) قيد كلمه (برات) در روي ورقه.\n2) تاريخ تحرير (روز و ماه و سال)\n3) اسم شخصي كه بايد برات را تأديه كند.\n4) تعيين مبلغ برات.\n5) تاريخ تأديه وجه برات.\n6) مكان تأديه وجه برات اعم از اينكه محل اقامت محال عليه باشد يا محل ديگر.\n7) اسم شخصي كه برات در وجه يا حواله كرد او پرداخته مي شود.\n8) تصريح باينكه نسخه اول يا دوم يا سوم يا چهارم الخ است.\n\n', 'قانون تجارت - ماده 18 - شش ماه پس از الزامي شدن ثبت تجارتي هر تاجري كه مكلف بثبت است بايد در كليه اسناد و صورت حسابها و نشريات خطي يا چاپي خود در ايران تصريح نمايد كه در تحت چه نمره بثبت رسيده و الا علاوه بر مجازات مقرر در فوق بجزاي نقدي از 000 /000 /10 تا 000 /000 /60 ريال محكوم مي شود.\n\n', 'قانون تجارت - ماده 8 - دفتر كل دفتري است كه تاجر بايد كليه معاملات را لااقل هفته يكمرتبه از دفتر روزنامه استخراج و انواع مختلفه آن را تشخيص و جدا كرده هر نوعي را در صفحه مخصوصي در آن دفتر بطور خلاصه ثبت كند.\n\n']",تصریح نماید که تحت چه نمره‌ای به ثبت رسیده. (ماده 18)
شناسایی کسبه جزء در چه صورتی انجام می‌گیرد؟,شناسایی کسبه در صورتی انجام می‌شود که ورثه تراضی در بهاي اموال غیرمنقول مورد درخواست تقسیم ننمایند، در این صورت اموال نامبرده باید توسط کارشناس ارزیابی شود.,"['قانون امور حسبي  - ماده 314 - در صورتيكه ورثه تراضي در بهاي اموال غيرمنقول مورد درخواست تقسيم ننمايد اموال نامبرده بايد بتوسط كارشناس ارزيابي شود و اموال منقول در صورتي ارزيابي ميگردد كه بارزيابي در موقع تحرير تركه بجهاتي نتوان ترتيب اثر داد.\nترتيب انتخاب كارشناس و مقررات راجع بكارشناس كه در آئين دادرسي مقرر است در تقسيم رعايت ميشود.\n\n', 'قانون امور حسبي  - ماده 307 – درخواست كننده تقسيم ميتواند زمينه هائي براي تقسيم تركه تهيه نموده و بدادگاه تسليم نمايد در اين صورت مراتب در احضاريه نوشته شده و تذكر داده مي شود كه مراجعه بزمينه هاي نامبرده در دفتر دادگاه مانعي ندارد.\n\n', 'قانون امور حسبي  - ماده 315 - كارشناس بايد بهاي اموال مورد درخواست تقسيم و قابل قسمت بودن و يا قابل قسمت نبودن آنها را معين و سهام را تعديل نمايد. كارشناس بايد براي ارزيابي اموال بهاي روز ارزيابي را در نظر بگيرد.\n\n']",مطابق مقررات نظامنامه وزارت عدلیه. (ماده 19)
انواع شرکت‌های تجارتی کدامند؟,انواع شرکت‌های تجارتی شامل شرکت‌های مختلط (سهامی و غیر سهامی)، شرکت‌های سهامی، شرکت‌های با مسئولیت محدود، شرکت‌های تعاونی و شرکت‌های تضامنی می‌باشند.,"['قانون تجارت - ماده 206 - در شركتهاي مختلط (سهامي و غير سهامي) شركاءِ غير ضامن حق دارند يك يا چند نفر براي نظارت در امر تصفيه معين نمايند.\n\n', 'قانون تجارت - ماده 213 - در شركتهاي سهامي و شركتهاي با مسئوليت محدود و شركتهاي تعاوني امر تصفيه بعهده مديران شركت است مگر آنكه اساسنامه يا اكثريت مجمع عمومي شركت ترتيب ديگري مقرر داشته باشد.\n\n', 'قانون تجارت - ماده 122 - در شركتهاي تضامني اگر سهمالشركه يك يا چند نفر غير نقدي باشد بايد سهمالشركه مزبور قبلاً بتراضي تمام شركاء تقويم شود.\n\n']",شرکت سهامی، با مسئولیت محدود، تضامنی، مختلط غیر سهامی، مختلط سهامی، نسبی، و تعاونی تولید و مصرف. (ماده 20)
تفاوت بین معاملات تجارتی که توسط تاجر انجام می‌شود و معاملاتی که برای رفع حوائج شخصی انجام می‌شوند چیست؟,تفاوت بین معاملات تجارتی که توسط تاجر انجام می‌شود و معاملاتی که برای رفع حوائج شخصی انجام می‌شوند، این است که معاملات تجارتی شامل تمامی معاملات بین تاجران، کسبه، صرافان، بانک‌ها، شرکت‌های تجارتی و همچنین معاملاتی که تاجر یا غیر تاجر برای حوائج تجارتی خود انجام می‌دهند. اما معاملاتی که برای رفع حوائج شخصی انجام می‌شوند، به معاملاتی اشاره دارد که انجام آن‌ها به منظور رفع نیازهای شخصی و غیرتجارتی انجام می‌شود.,"['قانون تجارت - ماده 3 - معاملات ذيل باعتبار تاجر بودن متعاملين يا يكي از آنها تجارتي محسوب ميشود:\n1) كليه معاملات بين تجار و كسبه و صرافان و بانكها.\n2) كليه معاملاتي كه تاجر يا غير تاجر براي حوائج تجارتي خود مينمايد.\n3) كليه معاملاتيكه اجزاء يا خدمه يا شاگرد تاجر براي امور تجارتي ارباب خود مينمايد.\n4) كليه معاملات شركت هاي تجارتي.\n\n', 'قانون تجارت - ماده 475 - حكم فوق درباره دعوي خياراتي نيز مجري خواهد بود كه تاجر ورشكسته نسبت باموال متصرفي خود يا ديگران دارد مشروط براينكه بر ضرر طلبكارها نباشد.\n\nفصل هفتم - در قرارداد ارفاقي و تصفيه حساب تاجر ورشكسته\n\nمبحث اول - در دعوت طلبكارها و مجمع عمومي آنها\n\n', 'قانون تجارت - ماده 342 - هر گاه معامله بتوسط دلال واقع و نوشتجات و اسنادي راجع به آن معامله بين طرفين بتوسط او رد و بدل شود در صورتيكه امضاها راجع باشخاصي باشد كه بتوسط او معامله را كردهاند دلال ضامن صحت و اعتبار امضاهاي نوشتجات و اسناد مزبور است.\n\n']",معاملات تجارتی شامل خرید، فروش، دلالی و سایر فعالیت‌های تجاری است که به منظور کسب سود انجام می‌شوند، در حالی که معاملات برای رفع حوائج شخصی شامل فعالیت‌هایی نیست که به منظور کسب سود تجاری انجام می‌شوند. (ماده 2 و ماده 3)
